# workload round tput hit_rate ssd_accesses height chunk_count peak_chunk rss_mb
A 1 815117.6 0.990612 936 4 15 28 87.7
A 2 802045.2 0.990432 954 4 14 29 87.8
A 3 912794.6 0.991786 819 4 14 29 87.7
B 1 634015.8 0.86071 26468 4 11 27 65.3
B 2 627399.6 0.860715 26467 4 11 27 65.4
B 3 625791.8 0.86071 26468 4 11 27 65.4
C 1 417416.4 0.829035 34193 4 13 27 62.9
C 2 398747.0 0.829045 34191 4 13 27 63.0
C 3 409524.4 0.829045 34191 4 13 27 63.0
